"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Keon Coleman","BUF","52.4","822.5","6.1","0.3","3.8","0.0","0.5","118.3"
"Chris Olave","NO","75.6","935.7","4.4","0.3","2.8","0.0","1.3","117.6"
"Stefon Diggs","NE","77.4","850.5","5.1","1.3","6.9","0.2","0.5","116.8"
"Ricky Pearsall","SF","58.2","789.8","5.0","7.0","50.0","0.3","0.6","114.6"
"Rashid Shaheed","NO","56.4","845.8","4.5","7.3","44.5","0.1","1.3","113.8"
"Cooper Kupp","SEA","73.1","813.9","5.4","1.3","7.7","0.0","0.6","113.3"
"Darnell Mooney","ATL","60.4","844.3","4.8","0.0","1.2","0.0","0.5","112.5"
"Jordan Addison","MIN","58.7","762.4","5.8","0.9","8.9","0.2","0.4","112.4"
"Khalil Shakir","BUF","71.7","812.5","4.9","0.3","3.0","0.0","0.6","109.9"
"Michael Pittman Jr.","IND","71.8","853.3","4.0","0.0","1.8","0.0","0.9","107.4"
"Marvin Mims Jr.","DEN","51.2","696.5","5.4","11.9","49.3","0.1","0.6","106.5"
"Rashod Bateman","BAL","45.5","691.5","5.5","0.0","0.6","0.0","0.1","102.3"
"Brandon Aiyuk","SF","51.9","785.4","3.9","0.0","1.7","0.0","0.4","101.3"
"Josh Downs","IND","63.3","738.1","4.3","0.3","5.6","0.0","0.5","99.0"
"Keenan Allen","LAC","58.5","682.7","5.2","0.5","2.7","0.0","0.6","98.5"
"Marquise Brown","KC","54.7","663.5","4.4","0.3","2.0","0.0","0.2","92.7"
"Cedric Tillman","CLE","55.7","696.3","3.9","0.7","0.8","0.0","0.9","91.2"
"Emeka Egbuka","TB","49.1","634.9","4.4","2.2","11.1","0.0","1.1","89.3"
"Adam Thielen","CAR","61.0","646.0","4.2","0.0","1.8","0.0","0.5","89.0"
"Jayden Higgins","HOU","47.7","629.6","4.0","0.7","2.5","0.0","0.5","86.2"
"Xavier Legette","CAR","53.6","603.0","3.9","6.2","29.2","0.1","0.5","86.0"
"Christian Kirk","HOU","50.6","649.5","3.5","0.7","4.0","0.0","0.8","84.7"
"Romeo Doubs","GB","45.0","573.4","4.3","0.0","0.5","0.0","0.5","82.0"
"Wan'Dale Robinson","NYG","69.1","622.0","3.1","2.0","15.6","0.0","0.5","81.6"
"Tre' Harris","LAC","44.2","586.7","3.8","0.7","3.8","0.0","0.7","80.2"
"Quentin Johnston","LAC","39.9","520.0","4.6","1.7","7.3","0.0","0.4","79.9"
"Luther Burden III","CHI","47.0","570.0","3.4","3.7","27.4","0.4","1.1","79.9"
"Joshua Palmer","BUF","42.0","577.0","3.5","0.0","0.5","0.0","0.1","78.7"
"Tyler Lockett","TEN","48.8","570.0","3.5","0.0","0.0","0.0","0.1","77.6"
"Michael Wilson","ARI","43.8","525.0","3.9","1.9","8.9","0.1","0.5","76.4"
"Calvin Austin III","PIT","39.3","539.2","3.6","2.3","11.8","0.1","0.5","76.2"
"DeMario Douglas","NE","54.6","575.3","2.8","2.1","15.7","0.0","0.2","75.7"
"Jalen McMillan","TB","38.2","479.9","4.3","2.3","20.4","0.0","0.5","75.0"
"Jack Bech","LV","45.9","574.6","2.9","1.0","4.7","0.0","0.8","74.1"
"Alec Pierce","IND","29.3","529.6","3.3","0.0","0.0","0.0","0.1","72.6"
"Dyami Brown","JAC","41.1","522.2","3.1","0.0","3.7","0.0","0.2","70.6"
"Diontae Johnson","CLE","43.1","533.4","2.8","0.0","2.3","0.0","0.7","68.8"
"Kyle Williams","NE","38.8","492.5","2.9","2.1","13.3","0.0","0.4","67.3"
"Tutu Atwell","LAR","39.1","498.0","2.2","4.3","20.2","0.1","0.1","65.3"
"Darius Slayton","NYG","34.1","502.0","2.4","1.4","6.1","0.0","0.2","65.2"
"DeAndre Hopkins","BAL","32.0","416.4","3.9","0.0","0.5","0.0","0.1","64.9"
"Marquez Valdes-Scantling","SEA","28.1","467.8","2.8","2.6","9.0","0.1","0.1","64.9"
"Nick Westbrook-Ikhine","MIA","31.2","423.4","3.7","0.0","1.3","0.0","0.1","64.3"
"Jalen Tolbert","DAL","34.3","408.6","3.5","0.0","0.0","0.0","0.1","61.7"
"Brandin Cooks","NO","37.4","431.3","2.9","1.7","3.8","0.0","0.1","60.7"
"Ray-Ray McCloud III","ATL","39.7","426.2","2.3","7.8","53.1","0.2","1.2","60.1"
"Josh Reynolds","NYJ","33.4","435.0","2.7","0.0","0.0","0.0","0.1","59.6"
"Tre Tucker","LV","30.1","388.5","2.3","5.6","31.5","0.3","0.1","57.6"
"Andrei Iosivas","CIN","30.4","363.4","3.4","0.0","0.0","0.0","0.1","56.6"
"Jordan Whittington","LAR","34.1","397.8","2.4","1.1","13.9","0.0","0.1","55.6"
"Jalen Coker","CAR","32.4","418.4","2.1","0.0","2.3","0.0","0.1","54.4"
"Allen Lazard","NYJ","29.9","383.2","2.7","0.0","0.0","0.0","0.1","54.2"
"Dont'e Thornton Jr.","LV","29.1","393.4","2.3","0.0","3.0","0.0","0.1","53.0"
"Pat Bryant","DEN","30.7","375.7","2.6","0.0","0.0","0.0","0.1","52.7"
"Dontayvion Wicks","GB","27.1","341.4","3.0","0.0","1.3","0.0","0.0","52.2"
"Adonai Mitchell","IND","26.6","369.1","2.3","2.5","11.5","0.1","0.2","51.9"
"Christian Watson","GB","19.9","367.0","2.3","4.3","17.0","0.0","0.4","51.7"
"Noah Brown","WAS","31.4","399.8","1.9","0.0","0.0","0.0","0.1","51.2"
"Russell Gage Jr.","SF","31.4","360.9","2.5","0.0","0.0","0.0","0.0","51.0"
"Troy Franklin","DEN","27.2","342.5","2.7","1.1","5.8","0.0","0.1","50.9"
"Jalen Nailor","MIN","24.9","326.6","2.9","1.8","7.1","0.0","0.4","50.1"
"Jaylin Noel","HOU","27.2","327.0","2.3","0.0","13.0","0.0","0.1","47.6"
"Elic Ayomanor","TEN","28.6","336.3","2.2","0.0","7.5","0.0","0.1","47.4"
"K.J. Osborn","WAS","28.7","318.5","2.5","0.0","0.0","0.0","0.0","46.9"
"Tory Horton","SEA","28.1","359.1","1.7","1.0","8.7","0.0","0.7","45.9"
"Curtis Samuel","BUF","27.0","271.5","2.5","6.6","29.3","0.1","0.1","45.4"
"Anthony Miller","BAL","25.3","289.4","2.5","0.0","0.0","0.0","0.0","44.2"
"Kayshon Boutte","NE","22.5","301.5","2.0","0.0","0.0","0.0","0.0","41.9"
"Greg Dortch","ARI","27.1","269.3","2.0","4.8","30.6","0.1","0.4","41.8"
"Van Jefferson","TEN","24.2","308.1","1.9","0.0","0.0","0.0","0.1","41.7"
"Ja'Lynn Polk","NE","24.7","299.0","1.8","0.0","0.0","0.0","0.0","40.8"
"Malik Washington","MIA","27.5","289.1","1.8","2.0","13.8","0.1","0.6","40.5"
"Devaughn Vele","DEN","24.9","275.3","2.1","0.0","1.7","0.0","0.1","40.1"
"Roman Wilson","PIT","21.8","276.7","1.9","0.0","0.0","0.0","0.1","39.0"
"Demarcus Robinson","SF","16.8","261.6","2.0","0.0","1.0","0.0","0.1","38.1"
"KaVontae Turpin","DAL","17.2","218.9","1.4","8.5","58.6","0.5","0.7","37.8"
"Parker Washington","JAC","25.7","276.7","1.6","0.0","8.5","0.0","0.1","37.8"
"Tim Patrick","DET","20.5","258.2","2.0","0.0","0.0","0.0","0.1","37.6"
"Chimere Dike","TEN","19.9","262.5","1.6","2.1","12.4","0.0","0.1","37.1"
"Jermaine Burton","CIN","18.1","239.8","2.0","0.0","2.0","0.0","0.1","35.7"
"Skyy Moore","KC","22.2","252.7","1.7","0.0","0.0","0.0","0.0","35.2"
"Tai Felton","MIN","17.7","214.8","1.7","0.0","3.7","0.0","0.0","31.7"
"Tyler Johnson","NYJ","19.7","207.3","1.5","0.0","0.0","0.0","0.0","29.9"
"Robert Woods","PIT","20.8","221.6","1.2","0.0","0.0","0.0","0.1","29.4"
"Luke McCaffrey","WAS","19.4","203.1","1.5","0.0","1.0","0.0","0.1","29.0"
"JuJu Smith-Schuster","KC","19.1","200.6","1.4","0.0","0.0","0.0","0.1","28.5"
"Jalen Royals","KC","15.4","185.5","1.4","0.0","2.5","0.0","0.0","27.1"
"Kendrick Bourne","NE","17.7","199.8","1.1","1.1","6.8","0.0","0.1","27.0"
"A.T. Perry","DEN","13.7","180.5","1.5","0.0","0.0","0.0","0.0","26.9"
"Jake Bobo","SEA","15.9","184.1","1.3","0.0","0.0","0.0","0.1","25.9"
"Zay Jones","ARI","16.8","179.7","1.3","0.0","2.0","0.0","0.1","25.6"
"Jahan Dotson","PHI","15.4","178.5","1.1","0.0","1.7","0.0","0.0","24.8"
"Kalif Raymond","DET","14.7","182.4","1.2","0.0","4.0","0.0","0.6","24.6"
"Bub Means","NO","15.1","188.6","1.0","0.7","4.0","0.0","0.3","24.4"
"Elijah Moore","BUF","14.5","159.6","1.2","0.0","1.3","0.0","0.0","23.4"
"Jalin Hyatt","NYG","13.1","173.9","0.9","0.0","0.0","0.0","0.0","22.8"
"Isaac TeSlaa","DET","10.7","155.2","1.1","0.0","0.0","0.0","0.0","22.3"
"Malachi Corley","NYJ","13.8","147.0","0.9","2.3","13.5","0.1","0.1","21.9"
"Xavier Hutchinson","HOU","14.0","152.6","1.0","0.0","0.0","0.0","0.0","21.1"
"Xavier Restrepo","TEN","12.0","131.0","1.0","0.0","3.0","0.0","0.0","19.4"
"Michael Gallup","WAS","11.6","130.8","1.0","0.0","0.0","0.0","0.0","19.2"
"Jaylin Lane","WAS","10.4","120.1","0.8","2.2","13.5","0.1","0.1","18.7"
"Irvin Charles","NYJ","12.4","132.5","0.9","0.0","0.0","0.0","0.0","18.5"
"DJ Chark Jr.","ATL","9.4","128.4","0.9","0.0","0.0","0.0","0.0","18.4"
"Arian Smith","NYJ","11.2","134.3","0.7","0.0","3.5","0.0","0.0","17.8"
"Jha'Quan Jackson","TEN","11.4","138.2","0.8","0.0","1.7","0.0","0.5","17.7"
"Quez Watkins","ARI","10.6","127.3","0.8","0.0","0.0","0.0","0.0","17.4"
"Mack Hollins","NE","9.2","115.5","0.9","0.0","1.7","0.0","0.1","17.1"
"Erik Ezukanma","MIA","10.8","121.0","0.8","0.0","0.0","0.0","0.0","16.8"
"Savion Williams","GB","8.6","99.4","0.8","4.4","16.4","0.1","0.0","16.7"
"KhaDarel Hodge","ATL","8.8","113.8","0.6","0.0","0.0","0.0","0.1","15.1"
"DeAndre Carter","CLE","10.9","128.5","0.5","0.0","2.0","0.0","0.5","15.0"
"Tylan Wallace","BAL","6.7","90.0","0.9","0.0","1.7","0.0","0.0","14.3"
"Simi Fehoko","ARI","7.6","91.5","0.7","0.0","0.0","0.0","0.0","13.1"
"Jamal Agnew","ATL","8.5","86.1","0.7","0.0","0.0","0.0","0.0","12.9"
"Olamide Zaccheaus","CHI","7.6","85.1","0.6","1.1","6.0","0.0","0.0","12.7"
"Tez Johnson","TB","7.1","86.7","0.6","0.0","2.0","0.0","0.0","12.2"
"Cedrick Wilson Jr.","NO","7.9","88.4","0.5","0.0","2.0","0.0","0.0","12.1"
"Tim Jones","MIN","6.9","77.7","0.6","0.0","0.0","0.0","0.0","11.6"
"KeAndre Lambert-Smith","LAC","5.9","77.6","0.6","0.0","3.0","0.0","0.0","11.5"
"Hunter Renfrow","CAR","9.3","90.1","0.4","0.0","0.0","0.0","0.0","11.5"
"Devontez Walker","BAL","4.9","68.5","0.6","0.0","1.7","0.0","0.0","10.8"
"Bo Melton","GB","6.2","73.9","0.6","0.0","0.0","0.0","0.0","10.8"
"Rondale Moore","MIN","7.0","66.6","0.5","2.0","10.5","0.0","0.1","10.6"
"Ben Skowronek","PIT","6.5","72.3","0.5","0.0","0.0","0.0","0.0","10.3"
"Sterling Shepard","TB","6.0","58.8","0.5","0.0","3.7","0.0","0.0","9.5"
"Maurice Alexander","CHI","6.3","68.1","0.4","0.0","0.0","0.0","0.0","9.3"
"Samori Toure","CHI","6.1","67.6","0.4","0.0","0.0","0.0","0.0","9.2"
"David Moore","CAR","5.8","72.3","0.3","0.0","0.0","0.0","0.0","9.0"
"Xavier Weaver","ARI","5.2","61.3","0.5","0.0","0.0","0.0","0.0","9.0"
"Tommy Mellott","LV","3.7","43.6","0.2","4.0","24.1","0.2","0.0","8.8"
"Malik Heath","GB","5.4","60.4","0.4","0.0","0.0","0.0","0.0","8.7"
"Dante Pettis","NO","5.5","62.9","0.2","2.1","9.7","0.0","0.0","8.5"
"Johnny Wilson","PHI","4.4","55.4","0.4","0.0","0.0","0.0","0.0","8.1"
"Justin Watson","HOU","4.4","60.2","0.3","0.0","0.0","0.0","0.0","7.7"
"Derius Davis","LAC","2.8","31.1","0.1","10.6","35.8","0.2","0.6","7.6"
"Jonathan Mingo","DAL","4.5","53.1","0.2","0.0","0.0","0.0","0.0","6.5"
"Charlie Jones","CIN","4.0","46.4","0.3","0.0","1.7","0.0","0.0","6.4"
"Kendric Pryor","CIN","3.9","41.8","0.3","0.0","0.0","0.0","0.0","6.2"
"Trishton Jackson","ARI","3.4","40.6","0.3","0.0","0.0","0.0","0.0","6.1"
"Jordan Watkins","SF","2.6","33.4","0.1","4.4","15.8","0.1","0.0","6.1"
"Dareke Young","SEA","3.4","39.8","0.2","0.0","0.0","0.0","0.0","5.4"
"Cody White","SEA","3.4","39.8","0.2","0.0","0.0","0.0","0.0","5.4"
"Jalen Brooks","DAL","3.4","38.7","0.2","0.0","0.0","0.0","0.0","5.3"
"John Metchie III","HOU","3.5","39.4","0.2","0.0","0.0","0.0","0.0","5.2"
"Bryce Oliver","TEN","3.4","38.3","0.2","0.0","0.0","0.0","0.0","5.1"
"Austin Trammell","JAC","3.4","40.1","0.2","0.0","0.0","0.0","0.0","5.0"
"Xavier Gipson","NYJ","4.2","54.3","0.0","0.0","2.5","0.0","0.5","4.9"
"Scotty Miller","PIT","3.2","38.9","0.2","0.0","0.0","0.0","0.0","4.8"
"Britain Covey","LAR","1.8","21.0","0.1","2.2","13.7","0.1","0.0","4.8"
"Chris Blair","ATL","3.2","34.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Dee Eskridge","MIA","3.0","32.9","0.2","0.0","1.7","0.0","0.0","4.7"
"Miles Boykin","CHI","3.1","35.9","0.2","0.0","0.0","0.0","0.0","4.6"
"Jamari Thrash","CLE","3.5","40.5","0.1","0.0","0.0","0.0","0.0","4.6"
"Lil'Jordan Humphrey","NYG","4.0","44.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Brycen Tremayne","CAR","3.0","33.0","0.2","0.0","0.0","0.0","0.0","4.3"
"David Bell","CLE","3.9","38.8","0.0","0.0","0.0","0.0","0.0","4.0"
"Tyler Scott","CHI","2.7","29.4","0.1","0.0","1.7","0.0","0.0","3.9"
"Devin Duvernay","CHI","3.5","34.5","0.2","0.0","2.0","0.0","0.5","3.8"
"Mecole Hardman Jr.","GB","3.0","33.6","0.2","0.0","2.0","0.0","0.5","3.8"
"Nick Nash","ATL","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"Ainias Smith","PHI","2.2","24.7","0.1","0.0","0.0","0.0","0.0","3.3"
"Isaiah Williams","CIN","1.9","20.7","0.2","0.0","0.0","0.0","0.0","3.1"
"Rakim Jarrett","TB","2.0","25.0","0.0","0.0","5.0","0.0","0.0","3.0"
"Jacob Cowing","SF","1.1","15.6","0.1","0.0","8.5","0.0","0.0","2.9"
"Ryan Flournoy","DAL","1.9","20.7","0.1","0.0","0.0","0.0","0.0","2.9"
"Laviska Shenault Jr.","BUF","1.8","19.5","0.1","0.0","0.0","0.0","0.0","2.7"
"Ashton Dulin","IND","1.6","19.6","0.1","0.0","1.7","0.0","0.0","2.6"
"Trent Sherfield Sr.","DEN","1.8","20.9","0.1","0.0","0.0","0.0","0.0","2.6"
"Anthony Gould","IND","1.7","19.9","0.0","0.0","2.5","0.0","0.0","2.5"
"Steven Sims Jr.","SEA","1.7","17.9","0.1","0.0","0.0","0.0","0.0","2.5"
"Tank Dell","HOU","2.0","24.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Isaiah Neyor","GB","2.0","24.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Zach Pascal","NYG","1.5","17.7","0.1","0.0","0.0","0.0","0.0","2.3"
"Trey Palmer","TB","1.3","14.9","0.1","0.0","0.0","0.0","0.0","1.8"
"Jimmy Horn Jr.","CAR","1.5","18.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Tyquan Thornton","KC","1.0","16.0","0.0","0.0","0.0","0.0","0.0","1.6"
"Braxton Berrios","HOU","1.0","10.5","0.0","0.0","2.5","0.0","0.0","1.3"
"LaJohntay Wester","BAL","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Nikko Remigio","KC","0.6","7.7","0.1","0.0","0.0","0.0","0.0","1.0"
"Chris Moore","WAS","0.5","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Ihmir Smith-Marsette","NYG","0.8","9.5","0.1","0.0","2.5","0.0","0.5","0.5"
"Trenton Irwin","JAC","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.5"
"Xavier Smith","LAR","1.0","11.0","0.0","0.0","2.5","0.0","0.5","0.4"
"Tom Kennedy","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keith Kirkwood","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Phillip Dorsett II","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
